iter	Passed	Remaining
0	260	130170
1	376	93681
2	476	78871
3	600	74447
4	684	67811
5	793	65319
6	917	64596
7	997	61365
8	1102	60131
9	1184	58036
10	1288	57271
11	1392	56640
12	1489	55816
13	1603	55671
14	1728	55900
15	1828	55314
16	1957	55628
17	2071	55467
18	2160	54683
19	2252	54061
20	2327	53083
21	2440	53015
22	2552	52931
23	2656	52689
24	2746	52189
25	2854	52042
26	2951	51708
27	3026	51025
28	3104	50426
29	3198	50104
30	3293	49826
31	3398	49709
32	3479	49246
33	3551	48672
34	3656	48584
35	3740	48211
36	3834	47979
37	3946	47977
38	4059	47983
39	4159	47839
40	4248	47558
41	4349	47429
42	4440	47194
43	4528	46932
44	4657	47096
45	4737	46761
46	4833	46587
47	4921	46342
48	5014	46157
49	5109	45982
50	5198	45765
51	5304	45702
52	5401	45559
53	5491	45359
54	5573	45096
55	5663	44903
56	5760	44772
57	5866	44708
58	5962	44564
59	6085	44627
60	6187	44532
61	6263	44251
62	6371	44199
63	6471	44086
64	6570	43974
65	6657	43776
66	6742	43572
67	6831	43400
68	6910	43164
69	6991	42946
70	7092	42853
71	7186	42717
72	7259	42463
73	7370	42430
74	7474	42354
75	7578	42282
76	7689	42243
77	7758	41974
78	7838	41771
79	7949	41737
80	8064	41715
81	8186	41728
82	8278	41591
83	8356	41385
84	8440	41208
85	8533	41080
86	8649	41058
87	8726	40854
88	8830	40777
89	8917	40622
90	9011	40502
91	9094	40330
92	9172	40143
93	9277	40072
94	9375	39970
95	9451	39776
96	9540	39637
97	9609	39418
98	9707	39318
99	9815	39262
100	9895	39090
101	9995	39000
102	10086	38876
103	10200	38841
104	10254	38574
105	10364	38524
106	10451	383881107	10547	382821108	10627	381221109	10717	379971110	10814	378981111	10898	377551112	10991	376431113	11086	375401114	11180	37431115	11321	37476
116	11407	37343
117	11501	37232
118	11596	37129
1119	11658	36918120	11795	36945
121	11899	36868
122	12002	36789
1123	12047	365311124	12138	36415125	12289	36478
126	12404	36430
1127	12437	361461128	12542	360711129	12664	360441130	12765	359591131	12824	357541132	12935	356931133	13017	355551134	13115	35460135	13295	35586
136	13408	35526
137	13506	35428
138	13582	35274
139	13689	35202
140	13803	35143
141	13868	34963
142	13960	34852
143	14064	34769
144	14158	34663
145	14257	34570
146	14366	34499
147	14454	34377
148	14527	34223
149	14634	34146
150	14732	34050
151	14834	33963
152	14897	33786
153	14983	33664
154	15068	33538
155	15151	33411
156	15228	33270
157	15313	33146
158	15413	33056
159	15536	33014
160	15618	32886
161	15698	32753
162	15788	32641
163	15890	32555
164	15978	32440
165	16072	32337
166	16180	32264
167	16317	32247
168	16402	32125
169	16493	32016
170	16578	31896
171	16671	31792
172	16772	31702
173	16880	31625
174	16981	31536
175	17072	31429
176	17166	31325
177	17248	31202
178	17343	31101
179	17476	31068
180	17559	30947
181	17683	30897
182	17806	30844
183	17904	30749
184	17997	30643
185	18075	30515
186	18174	30420
187	18249	30287
188	18361	30214
189	18444	30093
190	18517	29957
191	18594	29829
192	18691	29731
193	18791	29640
194	18896	29555
195	19005	29478
196	19093	29367
197	19168	29236
198	19272	29150
199	19364	29046
200	19481	28979
201	19559	28854
202	19659	28763
203	19749	28655
204	19839	28549
205	19918	28428
206	20000	28310
207	20094	28208
208	20201	28127
209	20300	28033
210	20397	27937
211	20466	27803
212	20578	27727
213	20698	27662
214	20757	27515
215	20866	27435
216	20957	27331
217	21047	27227
218	21100	27074
219	21200	26982
220	21312	26906
221	21423	26827
222	21505	26712
223	21631	26652
224	21734	26564
225	21823	26458
226	21912	26352
227	21997	26242
228	22092	26144
229	22180	26037
230	22261	25923
231	22348	25816
232	22445	25721
233	22524	25604
234	22592	25476
235	22676	25366
236	22782	25281
237	22880	25188
238	22972	25087
239	23059	24981
240	23153	24883
241	23250	24788
242	23337	24682
243	23445	24598
244	23541	24502
245	23662	24432
246	23774	24351
247	23866	24251
248	23956	24149
249	24068	24068
250	24162	23969
251	24267	23882
252	24361	23784
253	24460	23689
254	24551	23588
255	24645	23490
256	24780	23430
257	24901	23357
258	25062	23320
259	25250	23308
260	25436	23292
261	25612	23265
262	25792	23242
263	25925	23175
264	26124	23166
265	26344	23175
266	26520	23143
267	26734	23143
268	26923	23119
269	27065	23056
270	27258	23034
271	27442	23003
272	27639	22982
273	27779	22912
274	27983	22895
275	28135	22834
276	28300	22783
277	28498	22757
278	28634	22681
279	28859	22675
280	29092	22673
281	29337	22679
282	29482	22606
283	29643	22545
284	29821	22497
285	29961	22418
286	30150	22376
287	30335	22330
288	30504	22271
289	30681	22217
290	30835	22146
291	31051	22118
292	31204	22045
293	31363	21975
294	31519	21903
295	31695	21844
296	31856	21773
297	32031	21712
298	32224	21662
299	32398	21599
300	32572	21534
301	32723	21454
302	32891	21384
303	33078	21326
304	33317	21301
305	33496	21236
306	33625	21139
307	33754	21041
308	33869	20935
309	34068	20880
310	34193	20779
311	34375	20713
312	34507	20616
313	34696	20552
314	34859	20472
315	35006	20383
316	35171	20303
317	35343	20228
318	35463	20122
319	35628	20040
320	35770	19946
321	35903	19847
322	36062	19761
323	36188	19657
324	36324	19559
325	36476	19468
326	36667	19399
327	36849	19323
328	36984	19223
329	37152	19138
330	37301	19045
331	37449	18950
332	37622	18867
333	37737	18755
334	37889	18661
335	38019	18556
336	38150	18452
337	38331	18371
338	38478	18274
339	38635	18181
340	38763	18074
341	38909	17975
342	39102	17898
343	39259	17803
344	39430	17715
345	39584	17618
346	39741	17522
347	39873	17415
348	40016	17313
349	40178	17219
350	40310	17111
351	40484	17022
352	40665	16934
353	40842	16844
354	40996	16745
355	41143	16642
356	41287	16538
357	41513	16466
358	41729	16389
359	41865	16281
360	41991	16168
361	42141	16064
362	42378	15993
363	42501	15879
364	42674	15783
365	42801	15670
366	42950	15565
367	43078	15452
368	43250	15354
369	43375	15240
370	43516	15131
371	43673	15027
372	43840	14926
373	44003	14824
374	44194	14731
375	44343	14623
376	44519	14524
377	44683	14421
378	44909	14337
379	45077	14234
380	45220	14124
381	45401	14024
382	45543	13912
383	45667	13795
384	45828	13689
385	45927	13564
386	46052	13446
387	46224	13343
388	46386	13236
389	46559	13132
390	46704	13019
391	46801	12894
392	46964	12786
393	47093	12669
394	47247	12559
395	47399	12448
396	47583	12345
397	47766	12241
398	47892	12123
399	48019	12004
400	48229	11906
401	48373	11792
402	48521	11678
403	48627	11555
404	48771	11440
405	48924	11327
406	49026	11202
407	49155	11084
408	49315	10972
409	49516	10869
410	49694	10761
411	49866	10651
412	50060	10545
413	50185	10425
414	50325	10307
415	50565	10210
416	50808	10113
417	50942	9993
418	51078	9874
419	51262	9764
420	51391	9643
421	51534	9525
422	51726	9415
423	51887	9300
424	52047	9184
425	52296	9084
426	52455	8967
427	52603	8849
428	52729	8726
429	52856	8604
430	53033	8490
4431	53096	83574432	53240	82384433	53396	81204434	53650	80164435	53910	79134436	54111	78014437	54291	76854438	54532	75774439	54771	74684440	54899	73444441	55085	72284442	55249	71084443	55445	6993
444	55644	6877
445	55845	6761
446	56007	6640
447	56159	6518
448	56347	6400
449	56556	6284
450	56732	6163
451	56950	6047
452	57131	5927
453	57299	5805
454	57495	5686
455	57627	5560
456	57819	5440
457	57987	5317
458	58152	5194
459	58332	5072
460	58574	4955
461	58697	4827
462	58815	4700
463	58983	4576
464	59257	4460
465	59397	4333
466	59584	4210
467	59699	4082
468	59868	3957
469	60036	3832
470	60165	3704
471	60347	3579
472	60615	3460
473	60760	3332
474	60928	3206
475	61055	3078
476	61238	2952
477	61395	2825
478	61557	2698
479	61708	2571
480	61869	2443
481	61996	2315
482	62115	2186
483	62257	2058
484	62444	1931
485	62624	1803
486	62722	1674
487	62893	1546
488	63008	1417
489	63125	1288
490	63231	1159
491	63310	1029
492	63378	899
493	63442	770
494	63499	641
495	63543	512
496	63590	383
497	63622	255
498	63654	127
499	63691	0
